update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
259,mutant-only,0.186087039,260.1055619,48.08853575,899,0.270725134,251.5570776,66.02853881,900,0.182503301,262.9806378,47.98974943,900
260,mutant-only,0.18623156,260.002265,48.09513024,900,0.271777406,251.4965753,66.19863014,900,0.182500561,262.9908987,47.99089875,900
261,mutant-only,0.186635797,259.6330691,48.09399773,900,0.271292267,251.3276256,66.19406393,900,0.18252844,263,48,900
262,mutant-only,0.186520588,259.7301587,48.09410431,899,0.272045873,251.3125,66.43977273,900,0.182513108,262.9749145,47.99201824,900
263,mutant-only,0.186804507,259.4614512,48.09297052,900,0.272983792,251.0215664,66.44040863,900,0.182529274,262.9737742,47.995439,900
264,mutant-only,0.186687294,259.5634921,48.09410431,900,0.272737447,250.811086,66.38348416,900,0.182486171,262.986317,47.98631699,900
265,mutant-only,0.186377012,259.8471121,48.09060023,900,0.272901149,250.7706215,66.24180791,900,0.182527771,262.9474286,47.99085714,900
266,mutant-only,0.186216047,260.0113507,48.08967083,900,0.274598564,250.4212911,66.45639864,900,0.182507996,262.9919908,47.99313501,900
267,mutant-only,0.186434587,259.760771,48.07709751,900,0.274889838,249.8500564,66.26606539,900,0.182492287,263.0148741,47.99313501,899
268,mutant-only,0.186533374,259.6802721,48.07369615,900,0.275213467,249.4235561,66.21064553,900,0.182418489,263.0938215,47.98741419,899
269,mutant-only,0.186559371,259.6920455,48.08181818,899,0.277501948,249.3691959,66.69875425,900,0.182463387,263.0411429,47.98971429,899
270,mutant-only,0.186677756,259.5827664,48.08049887,899,0.276212685,248.7397727,66.2625,900,0.18234661,263.4088838,47.98747153,900
271,mutant-only,0.18665371,259.6340909,48.09659091,899,0.27819979,248.7103763,66.66248575,900,0.182327948,263.4236902,47.98519362,900
272,mutant-only,0.186649603,259.61959,48.09339408,899,0.279909485,248.1972634,66.995439,900,0.182203314,263.4139111,47.95096921,900
273,mutant-only,0.186914339,259.3732877,48.09018265,900,0.280518826,248.0216155,67.06712173,900,0.182182742,263.428246,47.9476082,900
274,mutant-only,0.186723199,259.5251142,48.08105023,900,0.281883861,247.4193182,67.04431818,900,0.182169488,263.4761364,47.95227273,900
275,mutant-only,0.186496592,259.7514253,48.07525656,900,0.284222094,246.8721719,67.40950226,900,0.182208814,263.4812713,47.96367764,900
276,mutant-only,0.186631072,259.6374002,48.07639681,900,0.283612108,246.5441176,67.08823529,900,0.182216474,263.5073613,47.97055493,900
277,mutant-only,0.18703814,259.2793615,48.07981756,900,0.283389905,246.0554926,66.74405436,900,0.182200913,263.492622,47.96367764,900
278,mutant-only,0.187298469,259.0295791,48.07622298,900,0.283189756,245.4431818,66.58068182,900,0.182199572,263.4505119,47.9556314,900
279,mutant-only,0.187308418,259.070615,48.08542141,900,0.282857523,244.8933031,66.39727582,900,0.182189466,263.4812287,47.95790671,900
280,mutant-only,0.187356613,259.048,48.09257143,900,0.284010777,244.5267349,66.49488055,900,0.18222763,263.4720639,47.96693273,900
281,mutant-only,0.187333569,259.0523918,48.08883827,900,0.284606362,244.0818182,66.29431818,900,0.182270486,263.4502857,47.97485714,900
282,mutant-only,0.1876999,258.6875713,48.07981756,900,0.28394171,244.1112372,66.26447219,900,0.182346009,263.4445714,47.99314286,900
283,mutant-only,0.188419743,258.0260771,48.07142857,900,0.285461702,243.9625426,66.7014756,900,0.182316413,263.5292096,48,900
284,mutant-only,0.18831736,258.1339387,48.06242906,900,0.287296137,243.2372304,66.80476731,900,0.182340742,263.5125858,48.00343249,900
285,mutant-only,0.188184397,258.2758229,48.06583428,900,0.289782044,242.7763905,67.22474461,900,0.182277187,263.5606407,47.99542334,900
286,mutant-only,0.187718446,258.6893424,48.07369615,900,0.288114679,243.1904762,66.99319728,900,0.182288794,263.5691429,48,900
287,mutant-only,0.187353914,259.0588901,48.08493771,900,0.286915526,243.1,66.64659091,900,0.182298853,263.5605023,48.00114155,900
288,mutant-only,0.187746946,258.7386878,48.09049774,899,0.28458498,243.0979499,66.15261959,899,0.182339635,263.5673516,48.01255708,899
289,mutant-only,0.188201859,258.3087401,48.0908059,900,0.285660281,242.9840547,66.40205011,899,0.182291329,263.6636156,48.01601831,900
290,mutant-only,0.188362648,258.169126,48.09421112,900,0.285513153,243.149033,66.38452787,899,0.182323595,263.5860092,48.01146789,899
291,mutant-only,0.188487134,258.031746,48.08956916,900,0.287970608,242.5056689,66.60430839,900,0.182324118,263.6043578,48.01490826,900
292,mutant-only,0.188427764,258.0977273,48.08409091,900,0.286846236,242.5198188,66.42242356,898,0.182305388,263.6155606,48.01144165,900
293,mutant-only,0.188515454,258.0033898,48.08022599,900,0.28739882,242.4835414,66.4631101,897,0.182254792,263.6575029,48.00572738,900
294,mutant-only,0.188760212,257.755079,48.0744921,900,0.287182739,242.5381115,66.35608646,898,0.182227617,263.6907216,48.0045819,900
295,mutant-only,0.188445552,258.0743243,48.07657658,900,0.288852661,242.6996587,66.63026166,899,0.1822433,263.6552119,48.00229095,900
296,mutant-only,0.188495573,258.0214205,48.0800451,900,0.289859478,242.4379977,66.74516496,899,0.182211163,263.6364679,47.99082569,900
297,mutant-only,0.188413008,258.1221719,48.08823529,900,0.290898243,242.0589569,66.95351474,900,0.182199415,263.6685714,47.99314286,900
298,mutant-only,0.188309812,258.2126697,48.09162896,899,0.290988783,240.9298643,66.53167421,900,0.182171801,263.7180365,47.99429224,900
299,mutant-only,0.189408117,257.3186441,48.09378531,899,0.292014833,240.8663647,66.76896942,900,0.182261863,263.6315789,48.00343249,900
300,mutant-only,0.189574815,257.0997732,48.08276644,899,0.292174061,240.0248869,66.37556561,900,0.182307984,263.586758,48.00799087,900
