update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
143,competion,0.33580882,148.070615,47.13553531,900,0.306554502,193.4097616,55.79001135,900,0.331182557,151.1014823,47.11630559,900
144,competion,0.336597382,147.4761905,47.13265306,900,0.308020391,192.89819,55.99321267,900,0.331109647,151.0649203,47.09908884,900
145,competion,0.336829412,147.3253968,47.13605442,900,0.307785148,192.459887,55.76158192,900,0.331157561,150.9716553,47.09977324,900
146,competion,0.337572322,146.7681818,47.13181818,900,0.308458746,192.7548241,56.02383655,900,0.331343179,150.6670442,47.09173273,900
147,competion,0.337714086,146.6215596,47.12614679,900,0.308721662,191.7954545,55.74318182,900,0.331955325,150.2386878,47.08597285,900
148,competion,0.337320129,146.9745958,47.12355658,900,0.309318707,191.9387755,55.95124717,900,0.332506796,149.8730159,47.0861678,900
149,competion,0.337391233,147.0346821,47.13294798,900,0.309867521,191.4088838,55.93394077,900,0.332330388,150.1274175,47.09442548,900
150,competion,0.337530085,146.9639535,47.1372093,900,0.309669926,191.0489192,55.75426621,900,0.331663332,150.546697,47.08883827,900
151,competion,0.337777578,146.6589327,47.12645012,900,0.310369151,190.4988584,55.72031963,900,0.332024313,150.5341686,47.08542141,900
152,competion,0.337994159,146.4508671,47.11907514,900,0.310839004,189.6932725,55.54960091,900,0.333002164,149.8090909,47.075,900
153,competion,0.33868086,145.9651972,47.12296984,900,0.310527807,189.9111617,55.54214123,900,0.333541876,149.7215909,47.07727273,900
154,competion,0.339124697,145.682448,47.12355658,900,0.310919575,189.9077449,55.64920273,900,0.333971259,149.38479,47.06696935,900
155,competion,0.33940631,145.406214,47.11852704,900,0.310842495,189.5745165,55.5221843,900,0.33535258,148.4386364,47.06022727,900
156,competion,0.340241663,144.6996548,47.1127733,900,0.310811467,189.7485779,55.5483504,900,0.335665131,148.261661,47.0625711,900
157,competion,0.33980753,145.0586207,47.1183908,900,0.310856504,189.3936291,55.44482366,900,0.335051837,148.552901,47.0625711,900
158,competion,0.339185469,145.4803695,47.12240185,900,0.310084063,190.354618,55.57924743,899,0.335544807,147.9353008,47.06242906,900
159,competion,0.339276895,145.3813364,47.12442396,900,0.309370799,190.2332196,55.36518771,899,0.335706454,147.8514739,47.06575964,900
160,competion,0.338728216,145.8101266,47.11852704,900,0.310031644,189.7352273,55.36136364,899,0.335316836,148.1087203,47.06115515,900
161,competion,0.339357094,145.375576,47.12327189,900,0.311824662,188.7943182,55.4625,898,0.336131841,147.5056689,47.05782313,900
162,competion,0.340284005,144.7193585,47.11454754,900,0.312237119,188.1642129,55.33748584,900,0.336789882,147.0624291,47.04994325,899
163,competion,0.341691904,143.7528604,47.1201373,900,0.312099033,188.2320819,55.31740614,900,0.337159238,146.8278596,47.05322763,900
164,competion,0.342132438,143.4087256,47.11940299,900,0.312023687,187.9625,55.18409091,900,0.337338326,146.7873303,47.06221719,900
165,competion,0.343202911,142.6285714,47.12342857,900,0.312331868,187.8517674,55.22805017,899,0.337925989,146.3382353,47.05656109,900
166,competion,0.343515964,142.510907,47.12858783,900,0.312544684,187.5079727,55.16970387,898,0.336943237,147.0810811,47.0518018,900
167,competion,0.344211309,142.087256,47.13432836,900,0.313334669,186.8228571,55.15085714,900,0.336897644,147.1297968,47.05530474,900
168,competion,0.344245616,142.0253165,47.13118527,900,0.313505302,186.6173121,55.12300683,900,0.337033415,146.8373151,47.05119454,900
169,competion,0.344972527,141.4214781,47.11778291,899,0.314802776,186.4726651,55.41571754,900,0.336702979,147.1107306,47.05365297,900
170,competion,0.345137719,141.3689655,47.11609195,899,0.314026034,187.0102389,55.41296928,900,0.337396858,146.5290764,47.04104903,900
171,competion,0.345358126,141.2128146,47.1201373,900,0.313611166,186.4857469,55.08779932,900,0.338547396,145.6252847,47.04328018,900
172,competion,0.345972682,140.7777778,47.12027491,900,0.31535941,185.8369441,55.25769669,900,0.339675395,144.744898,47.03854875,900
173,competion,0.346169702,140.6038813,47.1152968,900,0.315968548,185.7920455,55.38863636,900,0.340311683,144.3133484,47.03280543,900
174,competion,0.346872144,139.9714612,47.10273973,900,0.315335241,185.8431818,55.27386364,900,0.340192228,144.3197279,47.0260771,900
175,competion,0.346410652,140.3810069,47.11098398,900,0.315892954,185.2534091,55.21363636,900,0.339901625,144.5243488,47.02831257,900
176,competion,0.346653419,140.2305936,47.11415525,900,0.317317747,184.5278093,55.31668558,900,0.340167403,144.4134396,47.03075171,900
177,competion,0.346764982,140.109215,47.10807736,900,0.315824711,184.5290102,54.96700796,900,0.341455003,143.4631101,47.01929625,900
178,competion,0.346501422,140.3526735,47.10125142,900,0.315875547,184.9372862,55.10148233,900,0.342345306,142.7886364,47.00909091,900
179,competion,0.346971236,140.0271801,47.09399773,900,0.316139873,184.6700796,55.07849829,899,0.342346586,142.7676538,47.01025057,900
180,competion,0.346479726,140.4229025,47.09977324,900,0.315268435,184.7736064,54.8668942,899,0.343161063,142.1714286,47.01828571,900
181,competion,0.346865117,140.1289593,47.10067873,900,0.314710777,184.2806818,54.52613636,900,0.343219791,142.1497143,47.024,900
182,competion,0.347934094,139.2819932,47.09513024,900,0.315777987,183.9909194,54.68785471,900,0.343422714,142.0206659,47.02181401,900
183,competion,0.347133464,139.8081725,47.09307605,900,0.31557622,183.2667423,54.40408627,900,0.342850854,142.4068966,47.02183908,900
184,competion,0.347559066,139.4133635,47.09626274,900,0.314731121,183.3897727,54.24090909,899,0.3436234,141.787844,47.02408257,900
185,competion,0.347850024,139.1744584,47.09122007,900,0.315287396,183.3662132,54.3877551,900,0.343095374,142.2245132,47.03550974,900
186,competion,0.348377824,138.8754286,47.09257143,900,0.316410284,182.3972758,54.29625426,900,0.342749372,142.581422,47.03784404,900
187,competion,0.347925744,139.1595867,47.08725603,900,0.317425659,182.4326161,54.61155153,900,0.342645469,142.6578645,47.0413318,900
188,competion,0.348077276,139.0045819,47.0882016,900,0.317836375,182.1223103,54.60815402,900,0.343668039,141.8523645,47.03806228,900
189,competion,0.348228211,138.912,47.08571429,900,0.317993485,182.2251131,54.70135747,900,0.344420482,141.4060325,47.05336427,900
190,competion,0.348303249,138.8867277,47.08466819,900,0.318052925,182.1141243,54.69491525,899,0.344908654,140.9593023,47.05930233,900
191,competion,0.348864969,138.4954338,47.0913242,900,0.318031774,181.0531073,54.3039548,900,0.344742888,141.0707657,47.05568445,900
192,competion,0.348613354,138.7095672,47.08997722,900,0.317634191,181.420339,54.30621469,900,0.34510942,140.7482599,47.04060325,900
193,competion,0.348948738,138.4316629,47.08997722,900,0.316323641,181.7301587,54.0521542,900,0.344703736,141.0045977,47.03103448,900
194,competion,0.349308349,138.1533181,47.08466819,900,0.316798461,181.3846154,54.04751131,900,0.34596151,140.125576,47.03110599,900
195,competion,0.349414831,138.071754,47.08314351,900,0.317274475,181.7383918,54.32729332,900,0.346255529,139.9296424,47.03114187,900
196,competion,0.349187331,138.2295455,47.07727273,900,0.318918261,180.8284091,54.45227273,900,0.345721191,140.3630058,47.03699422,900
197,competion,0.34949433,138.2522831,47.07420091,900,0.319444586,180.3151308,54.39476678,900,0.346033563,140.1189376,47.02655889,900
198,competion,0.349340182,138.4104903,47.07981756,900,0.319679743,180.2568182,54.43977273,900,0.346507646,139.7235023,47.02534562,899
199,competion,0.349338287,138.4389966,47.08665906,900,0.319180975,180.6924829,54.46924829,900,0.346234054,140.0530565,47.03921569,900
200,competion,0.348963208,138.7044674,47.07331042,900,0.319522918,180.6040956,54.50967008,900,0.346150523,140.1313364,47.03686636,900
201,competion,0.349559213,138.0171625,47.08237986,900,0.319811176,180.3041002,54.4715262,900,0.345992271,140.1990794,47.0310702,900
202,competion,0.34963885,138.0365297,47.08561644,900,0.32058722,179.9351536,54.56427759,900,0.346130633,140.0528736,47.03563218,900
203,competion,0.35005317,137.6872146,47.08219178,900,0.320069817,180.1892816,54.52793615,900,0.346925313,139.5949367,47.03912543,900
204,competion,0.350648624,137.2531215,47.07832009,900,0.319318369,180.7514253,54.5359179,900,0.34722751,139.3145809,47.04362801,900
205,competion,0.350921753,136.9092971,47.07482993,900,0.319323099,181.0148064,54.63439636,900,0.347114332,139.4925201,47.04487917,900
