update,condition,minimal_avg.fitness,minimal_avg.offspring.cost,minimal_avg.energy.acq.rate,minimal_pop.size,selective_avg.fitness,selective_avg.offspring.cost,selective_avg.energy.acq.rate,selective_pop.size,rich_avg.fitness,rich_avg.offspring.cost,rich_avg.energy.acq.rate,rich_pop.size
239,wildtype-only,0.358349403,131.793578,46.99541284,900,0.247907526,189.0022831,46.74657534,900,0.358109223,131.4066438,46.96678121,900
240,wildtype-only,0.358030749,131.9563218,46.99655172,900,0.247966633,189.1026226,46.77879133,900,0.358060046,131.4530892,46.97368421,900
241,wildtype-only,0.357280581,132.489726,46.98972603,900,0.247774415,189.1619156,46.75142531,900,0.358106895,131.4316629,46.97266515,900
242,wildtype-only,0.357606394,132.3398169,46.99313501,900,0.247725904,189.1956522,46.74370709,900,0.358004205,131.496,46.97371429,900
243,wildtype-only,0.35746214,132.3851429,47.00457143,900,0.247601921,189.2328767,46.72374429,900,0.35753921,131.8758542,46.98633257,900
244,wildtype-only,0.357633902,132.1847206,47.00342075,900,0.24760598,189.2118451,46.71981777,900,0.357378172,131.9396355,46.97835991,900
245,wildtype-only,0.357882284,131.9908884,46.98747153,900,0.2474699,189.4514286,46.73257143,900,0.357388795,131.9217687,46.9739229,900
246,wildtype-only,0.357581474,132.0924658,46.98059361,900,0.247624538,189.4513173,46.7583047,900,0.357742637,131.6493213,46.97850679,900
247,wildtype-only,0.357823887,132.0022831,46.98630137,900,0.247530123,189.6162658,46.7628866,900,0.357907567,131.5660592,46.97835991,900
248,wildtype-only,0.357511124,132.2246294,46.99885975,900,0.247507837,189.4827586,46.74137931,899,0.357841385,131.5707763,46.97031963,900
249,wildtype-only,0.357667894,132.1643836,47.00456621,900,0.247462479,189.3390805,46.71494253,899,0.357835667,131.5862857,46.97714286,900
250,wildtype-only,0.357580746,132.2270148,47,900,0.247689772,189.0229885,46.70114943,899,0.357969079,131.3988571,46.96914286,900
251,wildtype-only,0.357881997,132.0443686,46.99886234,900,0.247645652,189.1218391,46.71034483,899,0.358184899,131.3066362,46.9771167,900
252,wildtype-only,0.357014749,132.7214612,47.00684932,900,0.247788823,189.1647597,46.74599542,900,0.358017349,131.3874286,46.97714286,900
253,wildtype-only,0.357296898,132.5905963,47.00802752,900,0.247761492,189.3257143,46.77028571,900,0.357886529,131.4165708,46.97008055,900
254,wildtype-only,0.35724478,132.6304348,47.01830664,900,0.247534923,189.5296128,46.76082005,900,0.358359499,131.1988506,46.97356322,900
255,wildtype-only,0.357039365,133.0229095,47.01260023,900,0.24749785,189.6492622,46.77298524,900,0.358490553,131.1542002,46.97813579,900
256,wildtype-only,0.356891116,133.1068966,47.00114943,899,0.247519096,189.3462415,46.73120729,900,0.358567657,131.1486175,46.98617512,900
257,wildtype-only,0.356858574,133.1808756,47.00806452,899,0.247541899,189.261959,46.71867882,899,0.358533303,131.1544622,46.98512586,900
258,wildtype-only,0.357210611,133.0473441,47.02540416,900,0.247893215,188.9317406,46.73037543,900,0.358620816,131.091954,46.98045977,900
