RIDER,TEAM,TIMES,GAP,B,P,distance so far
ALBERTO BETTIOL,EF EDUCATION - EASYPOST,54H 05' 48'',+ 01H 24' 50'',,,"""2291.4"""
JONAS ABRAHAMSEN,UNO-X MOBILITY,54H 07' 19'',+ 01H 26' 21'',11',,"""2291.4"""
STEFAN KÜNG,GROUPAMA-FDJ,54H 07' 35'',+ 01H 26' 37'',,,"""2291.4"""
MARC SOLER,UAE TEAM EMIRATES,54H 07' 51'',+ 01H 26' 53'',,,"""2291.4"""
KRISTS NEILANDS,ISRAEL - PREMIER TECH,54H 10' 35'',+ 01H 29' 37'',,,"""2291.4"""
QUENTIN PACHER,GROUPAMA-FDJ,54H 10' 57'',+ 01H 29' 59'',04',,"""2291.4"""
MIKE TEUNISSEN,INTERMARCHÉ - WANTY,54H 12' 28'',+ 01H 31' 30'',,,"""2291.4"""
ALEX ARANBURU DEVA,MOVISTAR TEAM,54H 12' 46'',+ 01H 31' 48'',,,"""2291.4"""
KOBE GOOSSENS,INTERMARCHÉ - WANTY,54H 13' 03'',+ 01H 32' 05'',,,"""2291.4"""
PAUL LAPEIRA,DECATHLON AG2R LA MONDIALE TEAM,54H 13' 52'',+ 01H 32' 54'',,,"""2291.4"""
KÉVIN GENIETS,GROUPAMA-FDJ,54H 16' 27'',+ 01H 35' 29'',,,"""2291.4"""
RYAN GIBBONS,LIDL-TREK,54H 17' 53'',+ 01H 36' 55'',,,"""2291.4"""
GIANNI MOSCON,SOUDAL QUICK-STEP,54H 18' 10'',+ 01H 37' 12'',,,"""2291.4"""
VICTOR CAMPENAERTS,LOTTO DSTNY,54H 19' 34'',+ 01H 38' 36'',,,"""2291.4"""
OLIVER NAESEN,DECATHLON AG2R LA MONDIALE TEAM,54H 19' 41'',+ 01H 38' 43'',,,"""2291.4"""
WOUT POELS,BAHRAIN VICTORIOUS,54H 19' 51'',+ 01H 38' 53'',,,"""2291.4"""
NANS PETERS,DECATHLON AG2R LA MONDIALE TEAM,54H 21' 13'',+ 01H 40' 15'',,,"""2291.4"""
JASPER STUYVEN,LIDL-TREK,54H 21' 19'',+ 01H 40' 21'',,,"""2291.4"""
GEORG ZIMMERMANN,INTERMARCHÉ - WANTY,54H 23' 19'',+ 01H 42' 21'',,,"""2291.4"""
DAVID GAUDU,GROUPAMA-FDJ,54H 23' 37'',+ 01H 42' 39'',,,"""2291.4"""
CHRISTOPHE LAPORTE,TEAM VISMA | LEASE A BIKE,54H 25' 25'',+ 01H 44' 27'',,,"""2291.4"""
NILS POLITT,UAE TEAM EMIRATES,54H 25' 31'',+ 01H 44' 33'',,,"""2291.4"""
TIM WELLENS,UAE TEAM EMIRATES,54H 25' 35'',+ 01H 44' 37'',,,"""2291.4"""
BRENT VAN MOER,LOTTO DSTNY,54H 26' 41'',+ 01H 45' 43'',,,"""2291.4"""
JAN TRATNIK,TEAM VISMA | LEASE A BIKE,54H 27' 07'',+ 01H 46' 09'',,,"""2291.4"""
JONATHAN CASTROVIEJO NICOLAS,INEOS GRENADIERS,54H 28' 08'',+ 01H 47' 10'',,,"""2291.4"""
STEFAN BISSEGGER,EF EDUCATION - EASYPOST,54H 28' 12'',+ 01H 47' 14'',,,"""2291.4"""
MICHAEL MATTHEWS,TEAM JAYCO ALULA,54H 28' 52'',+ 01H 47' 54'',,,"""2291.4"""
GIANNI VERMEERSCH,ALPECIN-DECEUNINCK,54H 30' 15'',+ 01H 49' 17'',,,"""2291.4"""
HAROLD TEJADA CANACUE,ASTANA QAZAQSTAN TEAM,54H 30' 16'',+ 01H 49' 18'',02',,"""2291.4"""
KÉVIN VAUQUELIN,ARKEA-B&B HOTELS,54H 30' 36'',+ 01H 49' 38'',18',,"""2291.4"""
MAGNUS CORT NIELSEN,UNO-X MOBILITY,54H 30' 58'',+ 01H 50' 00'',,,"""2291.4"""
SEAN QUINN,EF EDUCATION - EASYPOST,54H 33' 14'',+ 01H 52' 16'',,,"""2291.4"""
RASMUS TILLER,UNO-X MOBILITY,54H 33' 35'',+ 01H 52' 37'',,,"""2291.4"""
STEPHEN WILLIAMS,ISRAEL - PREMIER TECH,54H 33' 56'',+ 01H 52' 58'',,,"""2291.4"""
MATTEO SOBRERO,RED BULL - BORA - HANSGROHE,54H 33' 57'',+ 01H 52' 59'',,,"""2291.4"""
THOMAS GACHIGNARD,TOTALENERGIES,54H 34' 00'',+ 01H 53' 02'',,,"""2291.4"""
BART LEMMEN,TEAM VISMA | LEASE A BIKE,54H 34' 11'',+ 01H 53' 13'',,,"""2291.4"""
MATHIEU BURGAUDEAU,TOTALENERGIES,54H 34' 17'',+ 01H 53' 19'',,,"""2291.4"""
DORIAN GODON,DECATHLON AG2R LA MONDIALE TEAM,54H 34' 42'',+ 01H 53' 44'',,,"""2291.4"""
MATHIEU VAN DER POEL,ALPECIN-DECEUNINCK,54H 35' 53'',+ 01H 54' 55'',,,"""2291.4"""
FABIEN GRELLIER,TOTALENERGIES,54H 36' 38'',+ 01H 55' 40'',,,"""2291.4"""
LUKA MEZGEC,TEAM JAYCO ALULA,54H 37' 38'',+ 01H 56' 40'',,,"""2291.4"""
GREGOR MÜHLBERGER,MOVISTAR TEAM,54H 38' 25'',+ 01H 57' 27'',,,"""2291.4"""
AXEL LAURANCE,ALPECIN-DECEUNINCK,54H 39' 16'',+ 01H 58' 18'',,,"""2291.4"""
ANTHONY TURGIS,TOTALENERGIES,54H 39' 44'',+ 01H 58' 46'',10',,"""2291.4"""
PASCAL ACKERMANN,ISRAEL - PREMIER TECH,54H 41' 05'',+ 02H 00' 07'',12',,"""2291.4"""
BRYAN COQUARD,COFIDIS,54H 41' 09'',+ 02H 00' 11'',,,"""2291.4"""
NIKIAS ARNDT,BAHRAIN VICTORIOUS,54H 41' 47'',+ 02H 00' 49'',,,"""2291.4"""
BINIAM GIRMAY,INTERMARCHÉ - WANTY,54H 41' 48'',+ 02H 00' 50'',42',,"""2291.4"""
JOHN DEGENKOLB,TEAM DSM-FIRMENICH POSTNL,54H 43' 10'',+ 02H 02' 12'',,,"""2291.4"""
JAKE STEWART,ISRAEL - PREMIER TECH,54H 43' 12'',+ 02H 02' 14'',,,"""2291.4"""
HUGO PAGE,INTERMARCHÉ - WANTY,54H 43' 22'',+ 02H 02' 24'',,,"""2291.4"""
OIER LAZKANO LOPEZ,MOVISTAR TEAM,54H 43' 26'',+ 02H 02' 28'',,,"""2291.4"""
NICO DENZ,RED BULL - BORA - HANSGROHE,54H 43' 32'',+ 02H 02' 34'',,,"""2291.4"""
MARIJN VAN DEN BERG,EF EDUCATION - EASYPOST,54H 44' 08'',+ 02H 03' 10'',,,"""2291.4"""
MARCO HALLER,RED BULL - BORA - HANSGROHE,54H 44' 16'',+ 02H 03' 18'',,,"""2291.4"""
ALEXEY LUTSENKO,ASTANA QAZAQSTAN TEAM,54H 44' 53'',+ 02H 03' 55'',,00' 20'',"""2291.4"""
AXEL ZINGLE,COFIDIS,54H 46' 00'',+ 02H 05' 02'',,,"""2291.4"""
SIMON GESCHKE,COFIDIS,54H 46' 18'',+ 02H 05' 20'',,,"""2291.4"""
JUUL CHRISTOPHER JENSEN,TEAM JAYCO ALULA,54H 47' 49'',+ 02H 06' 51'',,,"""2291.4"""
CLÉMENT CHAMPOUSSIN,ARKEA-B&B HOTELS,54H 48' 03'',+ 02H 07' 05'',,,"""2291.4"""
CLÉMENT RUSSO,GROUPAMA-FDJ,54H 48' 08'',+ 02H 07' 10'',,,"""2291.4"""
GUILLAUME BOIVIN,ISRAEL - PREMIER TECH,54H 48' 57'',+ 02H 07' 59'',,,"""2291.4"""
JAN HIRT,SOUDAL QUICK-STEP,54H 48' 59'',+ 02H 08' 01'',,,"""2291.4"""
PIET ALLEGAERT,COFIDIS,54H 49' 18'',+ 02H 08' 20'',,,"""2291.4"""
LAURENZ REX,INTERMARCHÉ - WANTY,54H 49' 35'',+ 02H 08' 37'',,,"""2291.4"""
MATTEO VERCHER,TOTALENERGIES,54H 49' 59'',+ 02H 09' 01'',,,"""2291.4"""
RAUL GARCIA PIERNA,ARKEA-B&B HOTELS,54H 50' 20'',+ 02H 09' 22'',,,"""2291.4"""
LUKE DURBRIDGE,TEAM JAYCO ALULA,54H 53' 06'',+ 02H 12' 08'',,,"""2291.4"""
ARNAUD DE LIE,LOTTO DSTNY,54H 54' 38'',+ 02H 13' 40'',08',,"""2291.4"""
AMAURY CAPIOT,ARKEA-B&B HOTELS,54H 55' 36'',+ 02H 14' 38'',,,"""2291.4"""
CEDRIC BEULLENS,LOTTO DSTNY,54H 57' 26'',+ 02H 16' 28'',,,"""2291.4"""
DANNY VAN POPPEL,RED BULL - BORA - HANSGROHE,54H 57' 34'',+ 02H 16' 36'',,,"""2291.4"""
JASPER PHILIPSEN,ALPECIN-DECEUNINCK,54H 58' 39'',+ 02H 17' 41'',32',,"""2291.4"""
YVES LAMPAERT,SOUDAL QUICK-STEP,54H 58' 56'',+ 02H 17' 58'',,,"""2291.4"""
ARNAUD DEMARE,ARKEA-B&B HOTELS,54H 59' 24'',+ 02H 18' 26'',,,"""2291.4"""
MATEJ MOHORIC,BAHRAIN VICTORIOUS,54H 59' 30'',+ 02H 18' 32'',,,"""2291.4"""
ALEXANDER KRISTOFF,UNO-X MOBILITY,55H 02' 53'',+ 02H 21' 55'',04',,"""2291.4"""
BEN TURNER,INEOS GRENADIERS,55H 02' 59'',+ 02H 22' 01'',,,"""2291.4"""
SILVAN DILLIER,ALPECIN-DECEUNINCK,55H 04' 11'',+ 02H 23' 13'',,,"""2291.4"""
SØREN WÆRENSKJOLD,UNO-X MOBILITY,55H 09' 26'',+ 02H 28' 28'',,,"""2291.4"""
HARM VANHOUCKE,LOTTO DSTNY,55H 10' 20'',+ 02H 29' 22'',,,"""2291.4"""
SANDY DUJARDIN,TOTALENERGIES,55H 10' 46'',+ 02H 29' 48'',,,"""2291.4"""
SÉBASTIEN GRIGNARD,LOTTO DSTNY,55H 11' 24'',+ 02H 30' 26'',,,"""2291.4"""
ROBBE GHYS,ALPECIN-DECEUNINCK,55H 11' 33'',+ 02H 30' 35'',,,"""2291.4"""
DANIEL MCLAY,ARKEA-B&B HOTELS,55H 13' 30'',+ 02H 32' 32'',,,"""2291.4"""
CEES BOL,ASTANA QAZAQSTAN TEAM,55H 15' 49'',+ 02H 34' 51'',,,"""2291.4"""
SAM BENNETT,DECATHLON AG2R LA MONDIALE TEAM,55H 16' 16'',+ 02H 35' 18'',,,"""2291.4"""
DYLAN GROENEWEGEN,TEAM JAYCO ALULA,55H 18' 04'',+ 02H 37' 06'',10',,"""2291.4"""
ELMAR REINDERS,TEAM JAYCO ALULA,55H 18' 05'',+ 02H 37' 07'',,,"""2291.4"""
FERNANDO GAVIRIA RENDON,MOVISTAR TEAM,55H 18' 49'',+ 02H 37' 51'',10',,"""2291.4"""
LUCA MOZZATO,ARKEA-B&B HOTELS,55H 19' 00'',+ 02H 38' 02'',,,"""2291.4"""
NILS EEKHOFF,TEAM DSM-FIRMENICH POSTNL,55H 20' 03'',+ 02H 39' 05'',,,"""2291.4"""
PHIL BAUHAUS,BAHRAIN VICTORIOUS,55H 24' 59'',+ 02H 44' 01'',,,"""2291.4"""
LENNY MARTINEZ,GROUPAMA-FDJ,55H 25' 32'',+ 02H 44' 34'',,,"""2291.4"""
MARK CAVENDISH,ASTANA QAZAQSTAN TEAM,55H 29' 13'',+ 02H 48' 15'',10',00' 40'',"""2291.4"""
DAVIDE BALLERINI,ASTANA QAZAQSTAN TEAM,55H 29' 38'',+ 02H 48' 40'',,,"""2291.4"""
GERBEN THIJSSEN,INTERMARCHÉ - WANTY,55H 34' 47'',+ 02H 53' 49'',,,"""2291.4"""
JARRAD ERIKS DRIZNERS,LOTTO DSTNY,55H 35' 05'',+ 02H 54' 07'',,,"""2291.4"""
BRAM WELTEN,TEAM DSM-FIRMENICH POSTNL,55H 49' 53'',+ 03H 08' 55'',,,"""2291.4"""
