Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
WILLY DERBOVEN,SOLO-SUPERIA,129h 52' 53'',+ 02h 43' 09'',1964,4504,25,467573,9789
CAMILLE LE MENN,PEUGEOT-BP-ENGLEBERT,129h 58' 20'',+ 02h 48' 36'',1964,4504,25,467900,10116
FRANS BRANDS,FLANDRIA-ROMEO,129h 59' 12'',+ 02h 49' 28'',1964,4504,25,467952,10168
FRANÇOIS HAMON,PEUGEOT-BP-ENGLEBERT,130h 00' 07'',+ 02h 50' 23'',1964,4504,25,468007,10223
VIC DENSON,SOLO-SUPERIA,130h 07' 07'',+ 02h 57' 23'',1964,4504,25,468427,10643
ANTONIO BARRUTIA,KAS-KASKOL,130h 07' 41'',+ 02h 57' 57'',1964,4504,25,468461,10677
JOSEPH GROUSSARD,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,130h 09' 12'',+ 02h 59' 28'',1964,4504,25,468552,10768
FRANS AERENHOUTS,MERCIER-BP-HUTCHINSON,130h 12' 50'',+ 03h 03' 06'',1964,4504,25,468770,10986
JEAN GRACZYK,MARGNAT-PALOMA-DUNLOP,130h 14' 05'',+ 03h 04' 21'',1964,4504,25,468845,11061
JEAN MILESI,MARGNAT-PALOMA-DUNLOP,130h 16' 51'',+ 03h 07' 07'',1964,4504,25,469011,11227
JEAN-PIERRE GENET,MERCIER-BP-HUTCHINSON,130h 22' 39'',+ 03h 12' 55'',1964,4504,25,469359,11575
JEAN-BAPTISTE CLAES,WIELS-GROENE LEEUW,130h 22' 41'',+ 03h 12' 57'',1964,4504,25,469361,11577
SALVADOR HONRUBIA,FERRYS,130h 26' 51'',+ 03h 17' 07'',1964,4504,25,469611,11827
ANATOLE NOVAK,V.C. XII-SAINT RAPHAEL-GITANE-CAMPAGNOLO,130h 28' 46'',+ 03h 19' 02'',1964,4504,25,469726,11942
FELICE GIMONDI,SALVARANI,116h 42' 06'',-,1965,4188,24,420126,0
RAYMOND POULIDOR,MERCIER-BP-HUTCHINSON,116h 44' 46'',+ 00h 02' 40'',1965,4188,24,420286,160
GIANNI MOTTA,MOLTENI-IGNIS,116h 51' 24'',+ 00h 09' 18'',1965,4188,24,420684,558
HENRI ANGLADE,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,116h 54' 49'',+ 00h 12' 43'',1965,4188,24,420889,763
JEAN-CLAUDE LEBAUBE,FORD-FRANCE-GITANE-DUNLOP,116h 55' 02'',+ 00h 12' 56'',1965,4188,24,420902,776
JOSÉ PEREZ LLACER,FERRYS,116h 55' 21'',+ 00h 13' 15'',1965,4188,24,420921,795
GUIDO DE ROSSO,MOLTENI-IGNIS,116h 56' 54'',+ 00h 14' 48'',1965,4188,24,421014,888
FRANS BRANDS,FLANDRIA-ROMEO,116h 59' 42'',+ 00h 17' 36'',1965,4188,24,421182,1056
JAN JANSSEN,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,116h 59' 58'',+ 00h 17' 52'',1965,4188,24,421198,1072
FRANCISCO GABICA,KAS-KASKOL,117h 01' 17'',+ 00h 19' 11'',1965,4188,24,421277,1151
KARL-HEINZ KUNDE,WIELS-GROENE LEEUW,117h 01' 27'',+ 00h 19' 21'',1965,4188,24,421287,1161
ROGER PINGEON,PEUGEOT-BP-MICHELIN,117h 02' 38'',+ 00h 20' 32'',1965,4188,24,421358,1232
VALENTIN URIONA,KAS-KASKOL,117h 06' 40'',+ 00h 24' 34'',1965,4188,24,421600,1474
HENRI DUEZ,PEUGEOT-BP-MICHELIN,117h 07' 13'',+ 00h 25' 07'',1965,4188,24,421633,1507
RENZO FONTONA,MOLTENI-IGNIS,117h 07' 37'',+ 00h 25' 31'',1965,4188,24,421657,1531
GILBERT DESMET,WIELS-GROENE LEEUW,117h 10' 10'',+ 00h 28' 04'',1965,4188,24,421810,1684
ANDRÉ ZIMMERMANN,PEUGEOT-BP-MICHELIN,117h 11' 41'',+ 00h 29' 35'',1965,4188,24,421901,1775
ANDRÉ FOUCHER,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,117h 11' 59'',+ 00h 29' 53'',1965,4188,24,421919,1793
ARNALDO PAMBIANCO,SALVARANI,117h 14' 54'',+ 00h 32' 48'',1965,4188,24,422094,1968
LOUIS ROSTOLLAN,FORD-FRANCE-GITANE-DUNLOP,117h 16' 57'',+ 00h 34' 51'',1965,4188,24,422217,2091
WALTER BOUCQUET,FLANDRIA-ROMEO,117h 16' 58'',+ 00h 34' 52'',1965,4188,24,422218,2092
ANGELINO SOLER,PEUGEOT-BP-MICHELIN,117h 18' 42'',+ 00h 36' 36'',1965,4188,24,422322,2196
JULIO JIMENEZ,KAS-KASKOL,117h 18' 51'',+ 00h 36' 45'',1965,4188,24,422331,2205
MICHAËL WRIGHT,WIELS-GROENE LEEUW,117h 22' 17'',+ 00h 40' 11'',1965,4188,24,422537,2411
HANS JUNKERMANN,MARGNAT-PALOMA-INURI-DUNLOP,117h 23' 28'',+ 00h 41' 22'',1965,4188,24,422608,2482
SÉBASTIEN ELORZA,KAS-KASKOL,117h 24' 06'',+ 00h 42' 00'',1965,4188,24,422646,2520
RIK WOUTERS,TELEVIZIER,117h 24' 17'',+ 00h 42' 11'',1965,4188,24,422657,2531
FERNANDO MANZANEQUE,FERRYS,117h 24' 50'',+ 00h 42' 44'',1965,4188,24,422690,2564
GINES GARCIA,MARGNAT-PALOMA-INURI-DUNLOP,117h 25' 23'',+ 00h 43' 17'',1965,4188,24,422723,2597
LUIS OTANO,FERRYS,117h 29' 13'',+ 00h 47' 07'',1965,4188,24,422953,2827
RIK VAN LOOY,SOLO-SUPERIA,117h 29' 35'',+ 00h 47' 29'',1965,4188,24,422975,2849
HUUB HARINGS,TELEVIZIER,117h 29' 36'',+ 00h 47' 30'',1965,4188,24,422976,2850
JEAN-LOUIS BODIN,MERCIER-BP-HUTCHINSON,117h 29' 55'',+ 00h 47' 49'',1965,4188,24,422995,2869
JOSÉ-ANTONIO MOMENE,KAS-KASKOL,117h 30' 07'',+ 00h 48' 01'',1965,4188,24,423007,2881
MICHEL VAN AERDE,SOLO-SUPERIA,117h 31' 22'',+ 00h 49' 16'',1965,4188,24,423082,2956
GIUSEPPE FEZZARDI,MOLTENI-IGNIS,117h 32' 11'',+ 00h 50' 05'',1965,4188,24,423131,3005
JOAQUIM GALERA,KAS-KASKOL,117h 33' 01'',+ 00h 50' 55'',1965,4188,24,423181,3055
VICTOR VAN SCHIL,MERCIER-BP-HUTCHINSON,117h 33' 50'',+ 00h 51' 44'',1965,4188,24,423230,3104
RAYMOND MASTROTTO,MARGNAT-PALOMA-INURI-DUNLOP,117h 34' 06'',+ 00h 52' 00'',1965,4188,24,423246,3120
GEORGES VANDENBERGHE,FLANDRIA-ROMEO,117h 35' 00'',+ 00h 52' 54'',1965,4188,24,423300,3174
ROGER SWERTS,MERCIER-BP-HUTCHINSON,117h 35' 16'',+ 00h 53' 10'',1965,4188,24,423316,3190
WILLY MONTY,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,117h 36' 18'',+ 00h 54' 12'',1965,4188,24,423378,3252
FRANÇOIS MAHE,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,117h 36' 35'',+ 00h 54' 29'',1965,4188,24,423395,3269
EDUARDO CASTELLO,FERRYS,117h 36' 55'',+ 00h 54' 49'',1965,4188,24,423415,3289
AUGUSTE VERHAEGEN,WIELS-GROENE LEEUW,117h 38' 17'',+ 00h 56' 11'',1965,4188,24,423497,3371
JUAN SAGARDUY,KAS-KASKOL,117h 39' 15'',+ 00h 57' 09'',1965,4188,24,423555,3429
BENONI BEHEYT,WIELS-GROENE LEEUW,117h 39' 58'',+ 00h 57' 52'',1965,4188,24,423598,3472
GILBERT DE SMET,WIELS-GROENE LEEUW,117h 40' 14'',+ 00h 58' 08'',1965,4188,24,423614,3488
RENÉ BINGGELI,MOLTENI-IGNIS,117h 41' 18'',+ 00h 59' 12'',1965,4188,24,423678,3552
HENK NIJDAM,TELEVIZIER,117h 44' 08'',+ 01h 02' 02'',1965,4188,24,423848,3722
BAAS MALIEPAARD,TELEVIZIER,117h 45' 48'',+ 01h 03' 42'',1965,4188,24,423948,3822
JOHNNY SCHLECK,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,117h 46' 23'',+ 01h 04' 17'',1965,4188,24,423983,3857
CARLOS ECHEVARRIA,KAS-KASKOL,117h 46' 25'',+ 01h 04' 19'',1965,4188,24,423985,3859
GUIDO REYBROECK,FLANDRIA-ROMEO,117h 47' 20'',+ 01h 05' 14'',1965,4188,24,424040,3914
JOHAN DE ROO,TELEVIZIER,117h 48' 01'',+ 01h 05' 55'',1965,4188,24,424081,3955
JOSEPH Planckaert,SOLO-SUPERIA,117h 50' 42'',+ 01h 08' 36'',1965,4188,24,424242,4116
PIETRO PARTESOTTI,SALVARANI,117h 54' 59'',+ 01h 12' 53'',1965,4188,24,424499,4373
ROLAND VAN DE RYSE,FLANDRIA-ROMEO,117h 55' 04'',+ 01h 12' 58'',1965,4188,24,424504,4378
GERBEN KARSTENS,TELEVIZIER,117h 55' 07'',+ 01h 13' 01'',1965,4188,24,424507,4381
HENRI DEWOLF,SOLO-SUPERIA,117h 55' 51'',+ 01h 13' 45'',1965,4188,24,424551,4425
FRANS AERENHOUTS,MERCIER-BP-HUTCHINSON,117h 56' 16'',+ 01h 14' 10'',1965,4188,24,424576,4450
JACQUES BACHELOT,MARGNAT-PALOMA-INURI-DUNLOP,117h 57' 10'',+ 01h 15' 04'',1965,4188,24,424630,4504
AMBROGIO PORTALUPI,MOLTENI-IGNIS,117h 59' 00'',+ 01h 16' 54'',1965,4188,24,424740,4614
ROBERT CAZALA,MERCIER-BP-HUTCHINSON,118h 01' 24'',+ 01h 19' 18'',1965,4188,24,424884,4758
ESTEBAN MARTIN,FERRYS,118h 01' 57'',+ 01h 19' 51'',1965,4188,24,424917,4791
ANATOLE NOVAK,FORD-FRANCE-GITANE-DUNLOP,118h 03' 14'',+ 01h 21' 08'',1965,4188,24,424994,4868
KEES LUTE,FORD-FRANCE-GITANE-DUNLOP,118h 03' 28'',+ 01h 21' 22'',1965,4188,24,425008,4882
JOSEPH TIMMERMANN,WIELS-GROENE LEEUW,118h 05' 55'',+ 01h 23' 49'',1965,4188,24,425155,5029
ITALO MAZZACURATI,SALVARANI,118h 06' 53'',+ 01h 24' 47'',1965,4188,24,425213,5087
GILBERTO VENDEMIATI,SALVARANI,118h 06' 56'',+ 01h 24' 50'',1965,4188,24,425216,5090
JEAN GAINCHE,MERCIER-BP-HUTCHINSON,118h 08' 26'',+ 01h 26' 20'',1965,4188,24,425306,5180
NOËL DEPAUW,SOLO-SUPERIA,118h 08' 55'',+ 01h 26' 49'',1965,4188,24,425335,5209
ADRIANO DURANTE,MOLTENI-IGNIS,118h 09' 15'',+ 01h 27' 09'',1965,4188,24,425355,5229
REMO STEFANONI,MOLTENI-IGNIS,118h 09' 21'',+ 01h 27' 15'',1965,4188,24,425361,5235
JEAN-PIERRE GENET,MERCIER-BP-HUTCHINSON,118h 12' 17'',+ 01h 30' 11'',1965,4188,24,425537,5411
ROGELIO HERNANDEZ,FERRYS,118h 12' 45'',+ 01h 30' 39'',1965,4188,24,425565,5439
JO DE HAAN,TELEVIZIER,118h 18' 22'',+ 01h 36' 16'',1965,4188,24,425902,5776
AMBROGIO COLOMBO,MOLTENI-IGNIS,118h 18' 32'',+ 01h 36' 26'',1965,4188,24,425912,5786
VITTORIO ADORNI,SALVARANI,118h 21' 49'',+ 01h 39' 43'',1965,4188,24,426109,5983
GUILLAUME VAN TONGERLOO,FLANDRIA-ROMEO,118h 22' 34'',+ 01h 40' 28'',1965,4188,24,426154,6028
YVO MOLENAERS,FLANDRIA-ROMEO,118h 22' 48'',+ 01h 40' 42'',1965,4188,24,426168,6042
MICHEL GRAIN,FORD-FRANCE-GITANE-DUNLOP,118h 24' 32'',+ 01h 42' 26'',1965,4188,24,426272,6146
JEAN-CLAUDE LEFEBVRE,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,118h 24' 32'',+ 01h 42' 26'',1965,4188,24,426272,6146
EDGARD SORGELOOS,SOLO-SUPERIA,118h 24' 57'',+ 01h 42' 51'',1965,4188,24,426297,6171
ANTONIO BERTRAN PANADES,FERRYS,118h 26' 36'',+ 01h 44' 30'',1965,4188,24,426396,6270
DIEGO RONCHINI,SALVARANI,118h 27' 38'',+ 01h 45' 32'',1965,4188,24,426458,6332
VIC DENSON,FORD-FRANCE-GITANE-DUNLOP,118h 27' 42'',+ 01h 45' 36'',1965,4188,24,426462,6336
FRANÇOIS LE HER,MARGNAT-PALOMA-INURI-DUNLOP,118h 29' 54'',+ 01h 47' 48'',1965,4188,24,426594,6468
LÉO VAN DONGEN,TELEVIZIER,118h 30' 00'',+ 01h 47' 54'',1965,4188,24,426600,6474
GIACOMO FORCONI,MOLTENI-IGNIS,118h 30' 18'',+ 01h 48' 12'',1965,4188,24,426618,6492
MARIO MINIERI,SALVARANI,118h 34' 40'',+ 01h 52' 34'',1965,4188,24,426880,6754
HUBERT FERRER,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,118h 49' 53'',+ 02h 07' 47'',1965,4188,24,427793,7667
ANDRÉ DARRIGADE,MARGNAT-PALOMA-INURI-DUNLOP,118h 53' 04'',+ 02h 10' 58'',1965,4188,24,427984,7858
JEAN MILESI,MARGNAT-PALOMA-INURI-DUNLOP,119h 03' 44'',+ 02h 21' 38'',1965,4188,24,428624,8498
RAUL REY,FERRYS,119h 04' 43'',+ 02h 22' 37'',1965,4188,24,428683,8557
GEORGES GROUSSARD,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,119h 18' 44'',+ 02h 36' 38'',1965,4188,24,429524,9398
LUCIEN AIMAR,FORD-FRANCE-HUTCHINSON,117h 34' 21'',-,1966,4329,25,423261,0
JAN JANSSEN,PELFORTH-SAUVAGE-LEJEUNE-WOLBER,117h 35' 28'',+ 00h 01' 07'',1966,4329,25,423328,67
RAYMOND POULIDOR,MERCIER-BP-HUTCHINSON,117h 36' 23'',+ 00h 02' 02'',1966,4329,25,423383,122
ROGER PINGEON,FRANCE,136h 53' 50'',-,1967,4779,25,492830,0
JULIO JIMENEZ,ESPANA,136h 57' 30'',+ 00h 03' 40'',1967,4779,25,493050,220
FRANCO BALMAMION,PRIMAVERA,137h 01' 13'',+ 00h 07' 23'',1967,4779,25,493273,443
DÉSIRÉ LETORT,BLEUETS DE FRANCE,137h 02' 08'',+ 00h 08' 18'',1967,4779,25,493328,498
JAN JANSSEN,NEDERLAND,137h 03' 37'',+ 00h 09' 47'',1967,4779,25,493417,587
LUCIEN AIMAR,FRANCE,137h 03' 37'',+ 00h 09' 47'',1967,4779,25,493417,587
FELICE GIMONDI,ITALIA,137h 04' 04'',+ 00h 10' 14'',1967,4779,25,493444,614
JOSEPH HUYSMANS,BELGIQUE,137h 10' 35'',+ 00h 16' 45'',1967,4779,25,493835,1005
RAYMOND POULIDOR,FRANCE,137h 12' 08'',+ 00h 18' 18'',1967,4779,25,493928,1098
FERNANDO MANZANEQUE,ESPERANZA,137h 13' 12'',+ 00h 19' 22'',1967,4779,25,493992,1162
HANS JUNKERMANN,DEUTSCHLAND,137h 16' 52'',+ 00h 23' 02'',1967,4779,25,494212,1382
WILLY MONTY,BELGIQUE,137h 16' 56'',+ 00h 23' 06'',1967,4779,25,494216,1386
FRANS BRANDS,BELGIQUE,137h 18' 58'',+ 00h 25' 08'',1967,4779,25,494338,1508
CEES HAAST,NEDERLAND,137h 20' 13'',+ 00h 26' 23'',1967,4779,25,494413,1583
FRANCO BODRERO,PRIMAVERA,137h 20' 20'',+ 00h 26' 30'',1967,4779,25,494420,1590
NOËL VAN CLOOSTER,DIABLES ROUGES,137h 20' 30'',+ 00h 26' 40'',1967,4779,25,494430,1600
JOSÉ SAMYN,BLEUETS DE FRANCE,137h 22' 32'',+ 00h 28' 42'',1967,4779,25,494552,1722
GINES GARCIA,ESPANA,137h 22' 46'',+ 00h 28' 56'',1967,4779,25,494566,1736
ANDRÉ BAYSSIERE,COQS DE FRANCE,137h 23' 13'',+ 00h 29' 23'',1967,4779,25,494593,1763
JOHNNY SCHLECK,SUISSE-LUXEMBOURG,137h 25' 59'',+ 00h 32' 09'',1967,4779,25,494759,1929
HENRI RABAUTE,BLEUETS DE FRANCE,137h 28' 32'',+ 00h 34' 42'',1967,4779,25,494912,2082
GIANCARLO POLIDORI,PRIMAVERA,137h 29' 54'',+ 00h 36' 04'',1967,4779,25,494994,2164
JEAN-CLAUDE LEBAUBE,COQS DE FRANCE,137h 31' 13'',+ 00h 37' 23'',1967,4779,25,495073,2243
HERMAN VANSPRINGEL,BELGIQUE,137h 31' 44'',+ 00h 37' 54'',1967,4779,25,495104,2274
WIM SCHEPERS,NEDERLAND,137h 32' 05'',+ 00h 38' 15'',1967,4779,25,495125,2295
RAYMOND DELISLE,COQS DE FRANCE,137h 33' 19'',+ 00h 39' 29'',1967,4779,25,495199,2369
ROBERTO POGGIALI,ITALIA,137h 33' 53'',+ 00h 40' 03'',1967,4779,25,495233,2403
VICTOR VAN SCHIL,DIABLES ROUGES,137h 34' 26'',+ 00h 40' 36'',1967,4779,25,495266,2436
JEAN-CLAUDE THEILLIERE,COQS DE FRANCE,137h 34' 28'',+ 00h 40' 38'',1967,4779,25,495268,2438
GERBEN KARSTENS,NEDERLAND,137h 34' 36'',+ 00h 40' 46'',1967,4779,25,495276,2446
ROLF WOLFSHOHL,DEUTSCHLAND,137h 35' 34'',+ 00h 41' 44'',1967,4779,25,495334,2504
FLAVIANO VICENTINI,ITALIA,137h 38' 52'',+ 00h 45' 02'',1967,4779,25,495532,2702
JOSÉ LOPEZ CANO,ESPANA,137h 40' 22'',+ 00h 46' 32'',1967,4779,25,495622,2792
UGO COLOMBO,ITALIA,137h 41' 00'',+ 00h 47' 10'',1967,4779,25,495660,2830
ALFRED RÜEGG,SUISSE-LUXEMBOURG,137h 43' 13'',+ 00h 49' 23'',1967,4779,25,495793,2963
RAYMOND MASTROTTO,COQS DE FRANCE,137h 44' 00'',+ 00h 50' 10'',1967,4779,25,495840,3010
GEORGES CHAPPE,BLEUETS DE FRANCE,137h 44' 14'',+ 00h 50' 24'',1967,4779,25,495854,3024
JEAN DUMONT,COQS DE FRANCE,137h 44' 41'',+ 00h 50' 51'',1967,4779,25,495881,3051
MICHEL GRAIN,COQS DE FRANCE,137h 46' 18'',+ 00h 52' 28'',1967,4779,25,495978,3148
MAURICE IZIER,BLEUETS DE FRANCE,137h 46' 49'',+ 00h 52' 59'',1967,4779,25,496009,3179
MARIANO DIAZ,ESPANA,137h 47' 10'',+ 00h 53' 20'',1967,4779,25,496030,3200
GUIDO REYBROECK,DIABLES ROUGES,137h 49' 29'',+ 00h 55' 39'',1967,4779,25,496169,3339
WILLY IN'T VEN,DIABLES ROUGES,137h 50' 20'',+ 00h 56' 30'',1967,4779,25,496220,3390
PIETRO SCANDELLI,PRIMAVERA,137h 50' 33'',+ 00h 56' 43'',1967,4779,25,496233,3403
GEORGES VANDENBERGHE,BELGIQUE,137h 51' 39'',+ 00h 57' 49'',1967,4779,25,496299,3469
ANDRÉ FOUCHER,FRANCE,137h 53' 31'',+ 00h 59' 41'',1967,4779,25,496411,3581
JOSEPH SPRUYT,BELGIQUE,137h 56' 02'',+ 01h 02' 12'',1967,4779,25,496562,3732
ANGEL IBANEZ,ESPERANZA,137h 56' 09'',+ 01h 02' 19'',1967,4779,25,496569,3739
LUIS-PEDRO SANTAMARINA,ESPANA,137h 56' 24'',+ 01h 02' 34'',1967,4779,25,496584,3754
JÉSUS ARANZABAL,ESPERANZA,137h 56' 31'',+ 01h 02' 41'',1967,4779,25,496591,3761
PAUL IN'T VEN,DIABLES ROUGES,137h 58' 30'',+ 01h 04' 40'',1967,4779,25,496710,3880
DIETER WIEDEMANN,DEUTSCHLAND,138h 00' 09'',+ 01h 06' 19'',1967,4779,25,496809,3979
JEAN MONTEYNE,DIABLES ROUGES,138h 00' 37'',+ 01h 06' 47'',1967,4779,25,496837,4007
ROGER SWERTS,DIABLES ROUGES,138h 03' 47'',+ 01h 09' 57'',1967,4779,25,497027,4197
RENÉ BINGGELI,SUISSE-LUXEMBOURG,138h 04' 12'',+ 01h 10' 22'',1967,4779,25,497052,4222
JORGE MARINE,ESPERANZA,138h 05' 55'',+ 01h 12' 05'',1967,4779,25,497155,4325
CHRISTIAN RAYMOND,BLEUETS DE FRANCE,138h 08' 58'',+ 01h 15' 08'',1967,4779,25,497338,4508
AMBROGIO PORTALUPI,PRIMAVERA,138h 09' 23'',+ 01h 15' 33'',1967,4779,25,497363,4533
MARTIN VAN DEN BOSSCHE,BELGIQUE,138h 09' 27'',+ 01h 15' 37'',1967,4779,25,497367,4537
WALTER GODEFROOT,DIABLES ROUGES,138h 09' 53'',+ 01h 16' 03'',1967,4779,25,497393,4563
CLAUDIO MICHELOTTO,PRIMAVERA,138h 10' 38'',+ 01h 16' 48'',1967,4779,25,497438,4608
BARRY HOBAN,GREAT BRITAIN,138h 11' 19'',+ 01h 17' 29'',1967,4779,25,497479,4649
HERBERT WILDE,DEUTSCHLAND,138h 12' 01'',+ 01h 18' 11'',1967,4779,25,497521,4691
MARINO BASSO,PRIMAVERA,138h 12' 04'',+ 01h 18' 14'',1967,4779,25,497524,4694
LUCIANO DALLA BONA,ITALIA,138h 12' 11'',+ 01h 18' 21'',1967,4779,25,497531,4701
ROGER MILLIOT,BLEUETS DE FRANCE,138h 13' 35'',+ 01h 19' 45'',1967,4779,25,497615,4785
JOS VAN DER VLEUTEN,NEDERLAND,138h 14' 18'',+ 01h 20' 28'',1967,4779,25,497658,4828
GIANCARLO FERRETTI,ITALIA,138h 15' 30'',+ 01h 21' 40'',1967,4779,25,497730,4900
ARTHUR METCALFE,GREAT BRITAIN,138h 16' 27'',+ 01h 22' 37'',1967,4779,25,497787,4957
LOUIS PFENNINGER,SUISSE-LUXEMBOURG,138h 18' 53'',+ 01h 25' 03'',1967,4779,25,497933,5103
HUBERTUS ZILVERBERG,NEDERLAND,138h 23' 16'',+ 01h 29' 26'',1967,4779,25,498196,5366
RAYMOND RIOTTE,FRANCE,138h 25' 49'',+ 01h 31' 59'',1967,4779,25,498349,5519
BERNARD VIFIAN,SUISSE-LUXEMBOURG,138h 26' 23'',+ 01h 32' 33'',1967,4779,25,498383,5553
JOSÉ-MANUEL LASA,ESPERANZA,138h 27' 59'',+ 01h 34' 09'',1967,4779,25,498479,5649
HUUB HARINGS,NEDERLAND,138h 29' 56'',+ 01h 36' 06'',1967,4779,25,498596,5766
JOHAN DE ROO,NEDERLAND,138h 30' 03'',+ 01h 36' 13'',1967,4779,25,498603,5773
MICHEL JACQUEMIN,DIABLES ROUGES,138h 34' 49'',+ 01h 40' 59'',1967,4779,25,498889,6059
PAUL LEMETAYER,FRANCE,138h 35' 34'',+ 01h 41' 44'',1967,4779,25,498934,6104
WILLY SPUHLER,SUISSE-LUXEMBOURG,138h 37' 01'',+ 01h 43' 11'',1967,4779,25,499021,6191
ADRIANO DURANTE,ITALIA,138h 40' 28'',+ 01h 46' 38'',1967,4779,25,499228,6398
JEAN STABLINSKI,FRANCE,138h 43' 57'',+ 01h 50' 07'',1967,4779,25,499437,6607
EDOUARD DELBERGHE,FRANCE,138h 53' 26'',+ 01h 59' 36'',1967,4779,25,500006,7176
COLIN LEWIS,GREAT BRITAIN,138h 53' 40'',+ 01h 59' 50'',1967,4779,25,500020,7190
RAMON SAEZ,ESPANA,138h 58' 16'',+ 02h 04' 26'',1967,4779,25,500296,7466
FRANCIS BLANC,SUISSE-LUXEMBOURG,138h 59' 29'',+ 02h 05' 39'',1967,4779,25,500369,7539
MARIO MINIERI,ITALIA,139h 01' 45'',+ 02h 07' 55'',1967,4779,25,500505,7675
JEAN-PIERRE GENET,FRANCE,139h 14' 51'',+ 02h 21' 01'',1967,4779,25,501291,8461
JAN JANSSEN,NEDERLAND,133h 49' 42'',-,1968,4492,26,481782,0
HERMAN VANSPRINGEL,BELGIQUE A,133h 50' 20'',+ 00h 00' 38'',1968,4492,26,481820,38
FERDINAND BRACKE,BELGIQUE B,133h 52' 45'',+ 00h 03' 03'',1968,4492,26,481965,183
GREGORIO SAN MIGUEL,ESPANA,133h 52' 59'',+ 00h 03' 17'',1968,4492,26,481979,197
ROGER PINGEON,FRANCE A,133h 53' 11'',+ 00h 03' 29'',1968,4492,26,481991,209
ROLF WOLFSHOHL,DEUTSCHLAND,133h 53' 28'',+ 00h 03' 46'',1968,4492,26,482008,226
LUCIEN AIMAR,FRANCE B,133h 54' 26'',+ 00h 04' 44'',1968,4492,26,482066,284
FRANCO BITOSSI,ITALIA,133h 54' 41'',+ 00h 04' 59'',1968,4492,26,482081,299
ANDRES GANDARIAS,ESPANA,133h 54' 41'',+ 00h 04' 59'',1968,4492,26,482081,299
UGO COLOMBO,ITALIA,133h 57' 37'',+ 00h 07' 55'',1968,4492,26,482257,475
ANTONIO GOMEZ DEL MORAL,ESPANA,133h 57' 53'',+ 00h 08' 11'',1968,4492,26,482273,491
GEORGES PINTENS,BELGIQUE A,134h 00' 08'',+ 00h 10' 26'',1968,4492,26,482408,626
AURELIO GONZALEZ,ESPANA,134h 00' 24'',+ 00h 10' 42'',1968,4492,26,482424,642
ANDRÉ POPPE,BELGIQUE A,134h 02' 13'',+ 00h 12' 31'',1968,4492,26,482533,751
SILVANO SCHIAVON,ITALIA,134h 03' 51'',+ 00h 14' 09'',1968,4492,26,482631,849
TONY HOUBRECHTS,BELGIQUE B,134h 07' 05'',+ 00h 17' 23'',1968,4492,26,482825,1043
CHARLY GROSSKOST,FRANCE B,134h 07' 05'',+ 00h 17' 23'',1968,4492,26,482825,1043
GEORGES VANDENBERGHE,BELGIQUE B,134h 07' 44'',+ 00h 18' 02'',1968,4492,26,482864,1082
FLAVIANO VICENTINI,ITALIA,134h 08' 01'',+ 00h 18' 19'',1968,4492,26,482881,1099
WALTER GODEFROOT,BELGIQUE B,134h 01' 10'',+ 00h 11' 28'',1968,4492,26,482470,688
JEAN DUMONT,FRANCE C,134h 09' 50'',+ 00h 20' 08'',1968,4492,26,482990,1208
ANDRÉ BAYSSIERE,FRANCE C,134h 11' 12'',+ 00h 21' 30'',1968,4492,26,483072,1290
VICENTE LOPEZ-CARRIL,ESPANA,134h 11' 20'',+ 00h 21' 38'',1968,4492,26,483080,1298
ADRIANO PASSUELLO,ITALIA,134h 12' 43'',+ 00h 23' 01'',1968,4492,26,483163,1381
CARLO CHIAPPANO,ITALIA,134h 13' 24'',+ 00h 23' 42'',1968,4492,26,483204,1422
ARIE DEN HARTOG,NEDERLAND,134h 19' 16'',+ 00h 29' 34'',1968,4492,26,483556,1774
BERNARD GUYOT,FRANCE A,134h 20' 31'',+ 00h 30' 49'',1968,4492,26,483631,1849
MICHAËL WRIGHT,GREAT BRITAIN,134h 28' 35'',+ 00h 38' 53'',1968,4492,26,484115,2333
CARLOS ECHEVARRIA,ESPANA,134h 29' 09'',+ 00h 39' 27'',1968,4492,26,484149,2367
JULIO JIMENEZ,ESPANA,134h 29' 38'',+ 00h 39' 56'',1968,4492,26,484178,2396
JEAN-PIERRE DUCASSE,FRANCE B,134h 29' 40'',+ 00h 39' 58'',1968,4492,26,484180,2398
JOSEPH HUYSMANS,BELGIQUE A,134h 32' 10'',+ 00h 42' 28'',1968,4492,26,484330,2548
BARRY HOBAN,GREAT BRITAIN,134h 33' 10'',+ 00h 43' 28'',1968,4492,26,484390,2608
FRANS BRANDS,BELGIQUE A,134h 33' 10'',+ 00h 43' 28'',1968,4492,26,484390,2608
