index Year TotalTDFDistance Stages Start End "Winner of stage" Leader "Yellow Jersey" "Polka-dot jersey" "Green jersey" "White jersey"
199 1921 5485 15 Dunkerque Paris "Félix Goethals  (Tdf 1921 ***)" NA "Léon Scieur" NA NA NA
200 1922 5375 1 Paris "Le Havre" "Robert Jacquinot  (Tdf 1922 ***)" NA "Robert Jacquinot" NA NA NA
201 1922 5375 2 "Le Havre" Cherbourg-en-Cotentin "Romain Bellenger  (Tdf 1922 ***)" NA "Robert Jacquinot" NA NA NA
202 1922 5375 3 Cherbourg-en-Cotentin Brest "Robert Jacquinot  (Tdf 1922 ***)" NA "Robert Jacquinot" NA NA NA
203 1922 5375 4 Brest "Les Sables" "Philippe Thys  (Tdf 1922 ***)" NA "Eugène Christophe" NA NA NA
204 1922 5375 5 "Les Sables" Bayonne "Jean Alavoine  (Tdf 1922 ***)" NA "Eugène Christophe" NA NA NA
205 1922 5375 6 Bayonne Luchon "Jean Alavoine  (Tdf 1922 ***)" NA "Eugène Christophe" NA NA NA
206 1922 5375 7 Luchon Perpignan "Jean Alavoine  (Tdf 1922 ***)" NA "Jean Alavoine" NA NA NA
207 1922 5375 8 Perpignan Toulon "Philippe Thys  (Tdf 1922 ***)" NA "Jean Alavoine" NA NA NA
208 1922 5375 9 Toulon Nice "Philippe Thys  (Tdf 1922 ***)" NA "Jean Alavoine" NA NA NA
209 1922 5375 10 Nice Briançon "Philippe Thys  (Tdf 1922 ***)" NA "Jean Alavoine" NA NA NA
210 1922 5375 11 Briançon Genève "Emile ''Senior'' Masson  (Tdf 1922 ***)" NA "Jean Alavoine" NA NA NA
211 1922 5375 12 Genève Strasbourg "Emile ''Senior'' Masson  (Tdf 1922 ***)" NA "Hector Heusghem" NA NA NA
212 1922 5375 13 Strasbourg Metz "Federico Gay  (Tdf 1922 ***)" NA "Firmin Lambot" NA NA NA
213 1922 5375 14 Metz Dunkerque "Félix Sellier  (Tdf 1922 ***)" NA "Firmin Lambot" NA NA NA
214 1922 5375 15 Dunkerque Paris "Philippe Thys  (Tdf 1922 ***)" NA "Firmin Lambot" NA NA NA
215 1923 5386 1 Paris "Le Havre" "Robert Jacquinot  (Tdf 1923 ***)" NA "Robert Jacquinot" NA NA NA
216 1923 5386 2 "Le Havre" Cherbourg-en-Cotentin "Ottavio Bottecchia  (Tdf 1923 ***)" NA "Ottavio Bottecchia" NA NA NA
217 1923 5386 3 Cherbourg-en-Cotentin Brest "Henri Pelissier  (Tdf 1923 ***)" NA "Ottavio Bottecchia" NA NA NA
218 1923 5386 4 Brest "Les Sables" "Albert Dejonghe  (Tdf 1923 ***)" NA "Romain Bellenger" NA NA NA
219 1923 5386 5 "Les Sables" Bayonne "Robert Jacquinot  (Tdf 1923 ***)" NA "Romain Bellenger" NA NA NA
220 1923 5386 6 Bayonne Luchon "Jean Alavoine  (Tdf 1923 ***)" NA "Ottavio Bottecchia" NA NA NA
221 1923 5386 7 Luchon Perpignan "Jean Alavoine  (Tdf 1923 ***)" NA "Ottavio Bottecchia" NA NA NA
222 1923 5386 8 Perpignan Toulon "Lucien Buysse  (Tdf 1923 ***)" NA "Ottavio Bottecchia" NA NA NA
223 1923 5386 9 Toulon Nice "Jean Alavoine  (Tdf 1923 ***)" NA "Ottavio Bottecchia" NA NA NA
224 1923 5386 10 Nice Briançon "Henri Pelissier  (Tdf 1923 ***)" NA "Henri Pelissier" NA NA NA
225 1923 5386 11 Briançon Genève "Henri Pelissier  (Tdf 1923 ***)" NA "Henri Pelissier" NA NA NA
226 1923 5386 12 Genève Strasbourg "Joseph Muller  (Tdf 1923 ***)" NA "Henri Pelissier" NA NA NA
227 1923 5386 13 Strasbourg Metz "Romain Bellenger  (Tdf 1923 ***)" NA "Henri Pelissier" NA NA NA
228 1923 5386 14 Metz Dunkerque "Félix Goethals  (Tdf 1923 ***)" NA "Henri Pelissier" NA NA NA
229 1923 5386 15 Dunkerque Paris "Félix Goethals  (Tdf 1923 ***)" NA "Henri Pelissier" NA NA NA
230 1924 5425 1 Paris "Le Havre" "Ottavio Bottecchia  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
231 1924 5425 2 "Le Havre" Cherbourg-en-Cotentin "Romain Bellenger  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
232 1924 5425 3 Cherbourg-en-Cotentin Brest "Philippe Thys  (Premiere Classe)" NA "Ottavio Bottecchia" NA NA NA
